part_id,descr,part_type,min_year,max_year,url,img_url
970c00pb119,Legs and Hips with Dark Blue Vest Tails and Red and White Stitched Sash Print,legs,2011,2011,https://rebrickable.com/parts/970c00pb119/legs-and-hips-with-dark-blue-vest-tails-and-red-and-white-stitched-sash-print,https://img.rebrickable.com/img/pieces/elements/4569114.jpg
970c00pr0318,Legs and Dark Red Hips and Loincloth and Gold Aztec Print,legs,2012,2012,https://rebrickable.com/parts/970c00pr0318/legs-and-dark-red-hips-and-loincloth-and-gold-aztec-print,https://img.rebrickable.com/img/pieces/elements/6000443.jpg
js005,"Minifig - Jack Stone - Police - Blue Legs, Black Jacket, Blue Helmet [Female]",legs,2001,2001,https://rebrickable.com/parts/js005/minifig-jack-stone-police-blue-legs+-black-jacket+-blue-helmet-%5Bfemale%5D,https://img.rebrickable.com/img/ni.png
970c00pr0145,Legs and Light Bluish Gray Hips with Atlantis Diver Print,legs,2010,2010,https://rebrickable.com/parts/970c00pr0145/legs-and-light-bluish-gray-hips-with-atlantis-diver-print,https://img.rebrickable.com/img/pieces/elements/4568036.jpg
970c00pb038,Hips and Legs with Alpha Team Arctic Silver Zippers and Blue on Straps Pattern ,legs,2004,2004,https://rebrickable.com/parts/970c00pb038/hips-and-legs-with-alpha-team-arctic-silver-zippers-and-blue-on-straps-pattern-,https://img.rebrickable.com/img/pieces/elements/9339.jpg
970c11pb01,Legs and Green Hips with Adventurers Desert Green Kilt &amp; Toes Print (Hotep),legs,1998,1999,https://rebrickable.com/parts/970c11pb01/legs-and-green-hips-with-adventurers-desert-green-kilt-toes-print-hotep,https://img.rebrickable.com/img/pieces/0/3815ca2.png
tech004,"Technic Figure Red Legs, White Top with Red Triangle Print, Black Arms",legs,1988,1988,https://rebrickable.com/parts/tech004/technic-figure-red-legs+-white-top-with-red-triangle-print+-black-arms,https://img.rebrickable.com/img/pieces/9999/2698c01.png
tech015,"Technic Figure Blue Legs, Blue Top with Zip and Pockets, Light Gray Arms",legs,1995,1995,https://rebrickable.com/parts/tech015/technic-figure-blue-legs+-blue-top-with-zip-and-pockets+-light-gray-arms,https://img.rebrickable.com/img/pieces/9999/2698c01.png
970c00pr0182,Legs and Hips with Black Zipper Pockets and Black Shoes Print,legs,2011,2011,https://rebrickable.com/parts/970c00pr0182/legs-and-hips-with-black-zipper-pockets-and-black-shoes-print,https://img.rebrickable.com/img/pieces/elements/4610059.jpg
970c00pr0349,Legs and Hips with Dark Blue Markings Print [Wolverine 6866],legs,2012,2012,https://rebrickable.com/parts/970c00pr0349/legs-and-hips-with-dark-blue-markings-print-%5Bwolverine-6866%5D,https://img.rebrickable.com/img/pieces/elements/6008275.jpg
970c00pr0502,Legs and Hips with Black Vest and Coattails Print (The Lone Ranger),legs,2013,2013,https://rebrickable.com/parts/970c00pr0502/legs-and-hips-with-black-vest-and-coattails-print-the-lone-ranger,https://img.rebrickable.com/img/pieces/elements/6033520.jpg
970c00pr0594,Legs and Hips with Metal Plate Knee Pads with Rivets Print,legs,2014,2014,https://rebrickable.com/parts/970c00pr0594/legs-and-hips-with-metal-plate-knee-pads-with-rivets-print,https://img.rebrickable.com/img/pieces/elements/6057829.jpg
970c00pr0269,Legs and Hips with Green and Dark Green Scales Print,legs,2012,2012,https://rebrickable.com/parts/970c00pr0269/legs-and-hips-with-green-and-dark-green-scales-print,https://img.rebrickable.com/img/pieces/elements/4647765.jpg
53984,"Leg Mechanical, Exo-Force Robot",legs,2006,2008,https://rebrickable.com/parts/53984/leg-mechanical+-exo-force-robot,https://img.rebrickable.com/img/pieces/elements/4291056.jpg
970c00pr0777,Legs and Hips with Silver Sash and White Knee Pads Print,legs,2015,2015,https://rebrickable.com/parts/970c00pr0777/legs-and-hips-with-silver-sash-and-white-knee-pads-print,https://img.rebrickable.com/img/pieces/elements/6099493.jpg
92755pr01,Torso Head and Middle Leg with SW Sebulba Print,legs,2011,2012,https://rebrickable.com/parts/92755pr01/torso-head-and-middle-leg-with-sw-sebulba-print,https://img.rebrickable.com/img/pieces/elements/6044717.jpg
970c00pr0521,Legs and Dark Red Hips with Leia Slave Outfit Print,legs,2013,2013,https://rebrickable.com/parts/970c00pr0521/legs-and-dark-red-hips-with-leia-slave-outfit-print,https://img.rebrickable.com/img/pieces/elements/6039793.jpg
970c07pb01,Legs and Black Hips with Space UFO Silver Circuitry Print,legs,1997,1998,https://rebrickable.com/parts/970c07pb01/legs-and-black-hips-with-space-ufo-silver-circuitry-print,https://img.rebrickable.com/img/pieces/4/3815c6v.png
970c99pr0001,Long Legs and Hips with Dark Orange Boots Print [Woody],legs,2010,2010,https://rebrickable.com/parts/970c99pr0001/long-legs-and-hips-with-dark-orange-boots-print-%5Bwoody%5D,https://img.rebrickable.com/img/pieces/elements/4562523.jpg
970c00pb002,Legs and Hips with Purple Greatcoat Gray Outline Print (Severus Snape),legs,2001,2002,https://rebrickable.com/parts/970c00pb002/legs-and-hips-with-purple-greatcoat-gray-outline-print-severus-snape,https://img.rebrickable.com/img/pieces/0/3815chb.png
