part_id,descr,part_type,min_year,max_year,url,img_url
24076pr0001,MINI COSTUME NO. 2 &amp;quot;NO. 1&amp;quot;,accessory,2016,2016,https://rebrickable.com/parts/24076pr0001/mini-costume-no.-2-quot%3Bno.-1quot%3B,https://img.rebrickable.com/img/pieces/elements/6131233.jpg
33009px5,Minifig Book 2 x 3 with Muffin Print,accessory,2003,2004,https://rebrickable.com/parts/33009px5/minifig-book-2-x-3-with-muffin-print,https://img.rebrickable.com/img/pieces/5/33009.png
3962b,"Minifig Radio [Extended Handle, Compact Speaker Grille]",accessory,1990,2014,https://rebrickable.com/parts/3962b/minifig-radio-%5Bextended-handle+-compact-speaker-grille%5D,https://img.rebrickable.com/img/pieces/elements/396226.jpg
92747pr0001b,Minifig Shield Oval with Silver Mechanical Print,accessory,2013,2013,https://rebrickable.com/parts/92747pr0001b/minifig-shield-oval-with-silver-mechanical-print,https://img.rebrickable.com/img/pieces/elements/6028418.jpg
93219pr0005,"Minifig Cap, Short Curved Bill with Seams and Button on Top and Black Minifig Head on Metallic Silver Print",accessory,2012,2012,https://rebrickable.com/parts/93219pr0005/minifig-cap+-short-curved-bill-with-seams-and-button-on-top-and-black-minifig-head-on-metallic-silve,https://img.rebrickable.com/img/ni.png
24077,CRUTCH NO. 1,accessory,2016,2016,https://rebrickable.com/parts/24077/crutch-no.-1,https://img.rebrickable.com/img/pieces/elements/6138684.jpg
23986,Minifig Teapot,accessory,2016,2016,https://rebrickable.com/parts/23986/minifig-teapot,https://img.rebrickable.com/img/pieces/elements/6133667.jpg
97783,Minifig Accessories Dish - Round,accessory,2012,2016,https://rebrickable.com/parts/97783/minifig-accessories-dish-round,https://img.rebrickable.com/img/pieces/191/97783.png
87556pr0005a,"Minifig Helmet SW Stormtrooper Type 2, AT-AT Driver Dark Red Imperial Logo Print",accessory,2014,2015,https://rebrickable.com/parts/87556pr0005a/minifig-helmet-sw-stormtrooper-type-2+-at-at-driver-dark-red-imperial-logo-print,https://img.rebrickable.com/img/pieces/elements/6079763.jpg
75902pr0004,Minifig Shield Round Bowed with Bullseye with Star Print [Red],accessory,2014,2016,https://rebrickable.com/parts/75902pr0004/minifig-shield-round-bowed-with-bullseye-with-star-print-%5Bred%5D,https://img.rebrickable.com/img/pieces/elements/6071464.jpg
98372pr0001,Minifig Steak on Bone with Red Meat Print,accessory,2012,2012,https://rebrickable.com/parts/98372pr0001/minifig-steak-on-bone-with-red-meat-print,https://img.rebrickable.com/img/pieces/elements/4652816.jpg
30174pr0001,Minifig Armor Ninja Style with Black Clasps Print,accessory,2015,2015,https://rebrickable.com/parts/30174pr0001/minifig-armor-ninja-style-with-black-clasps-print,https://img.rebrickable.com/img/pieces/elements/6095766.jpg
30408pr0012,"Minifig Helmet SW Stormtrooper with Thick Red Center Stripe on Top, 2 Chin Holes and Sand Blue details print (Imperial Shock Trooper)",accessory,2016,2016,https://rebrickable.com/parts/30408pr0012/minifig-helmet-sw-stormtrooper-with-thick-red-center-stripe-on-top+-2-chin-holes-and-sand-blue-detai,https://img.rebrickable.com/img/pieces/elements/6142212.jpg
21340,WIG_FEATHERS W. EARS DEC. 1,accessory,2015,2015,https://rebrickable.com/parts/21340/wig_feathers-w.-ears-dec.-1,https://img.rebrickable.com/img/pieces/elements/6115835.jpg
18830pr0001,Minifig Fencing Mask with Silver Mesh Print,accessory,2015,2015,https://rebrickable.com/parts/18830pr0001/minifig-fencing-mask-with-silver-mesh-print,https://img.rebrickable.com/img/pieces/elements/6094007.jpg
fabca2,Fabuland Table,accessory,1981,1988,https://rebrickable.com/parts/fabca2/fabuland-table,https://img.rebrickable.com/img/ni.png
