theme_id,descr
101.04,Series 4
101.05,Series 5
101.06,Series 6
101.07,Series 7
101.08,Series 8
101.09,Series 9
028,Model Team
007,Modular Buildings
007.02,Bricktober
007.01,Mini
089,Monster Fighters
111,Nexo Knights
063,Ninja
064,Ninjago
064.01,Airjitzu
031,Other
065,Pharaoh&#039;s Quest
006,Pirates
006.01,Pirates I
006.01.01,Imperial Armada
006.01.02,Imperial Guards
006.01.03,Imperial Soldiers
006.01.04,Islanders
006.02,Pirates II
006.03,Pirates III
017,Pirates of the Caribbean
066,Power Functions
067,Power Miners
068,Primo
022,Prince of Persia
104,Promotional
069,Quatro
004,Racers
004.01,Drome Racers
004.02,Ferrari
004.03,Lamborghini
004.04,Power Racers
004.05,Radio Control
004.06,Speed Racer
004.07,Supplemental
004.08,Tiny Turbos
004.09,Track System
004.10,Williams F1
004.11,World Racers
004.11.01,Supplemental
004.12,Xalax
070,Rock Raiders
109,Scooby-Doo
027,Sculptures
027.01,Mosaic
011,Seasonal
011.01,Advent
011.01.03,Belville
011.01.04,Castle
011.01.01,City
011.01.05,Classic Basic
011.01.06,Clikits
011.01.07,Creator
011.01.09,Friends
011.01.08,Pirates
011.01.02,Star Wars
011.02,Advent Sub-Set
011.02.01,Belville
011.02.02,Castle
011.02.03,City
011.02.04,Classic Basic
011.02.05,Clikits
011.02.06,Creator
011.02.09,Friends
011.02.07,Pirates
011.02.08,Star Wars
011.03,Christmas
011.03.01,Creator
011.04,Easter
011.05,Halloween
011.06,Thanksgiving
011.07,Valentine
071,Service Packs
071.01,Adventurers
071.02,Aquazone
071.03,Belville
071.04,Castle
071.05,Fabuland
071.06,Pirates
071.07,Primo
071.08,Scala
071.09,Space
071.10,Technic
071.11,Town
071.11.01,Classic Town
071.12,Train
071.13,Western 
005,Space
005.01,Alien Conquest
005.02,Blacktron I
005.03,Blacktron II
005.04,Classic Space
005.05,Exploriens
005.06,Futuron
005.20,Galaxy Squad
005.07,Ice Planet 2002
005.08,Insectoids
005.09,Life On Mars
005.11,Mars Mission
005.10,M:Tron
005.12,RoboForce
005.13,Space Police I
005.14,Space Police II
005.15,Space Police III
005.16,Spyrius
005.17,Supplemental
005.18,UFO
005.19,Unitron
107,Speed Champions
024,SpongeBob SquarePants
072,Sports
072.01,Basketball
072.02,Gravity Games
072.03,Hockey
072.04,Soccer
073,Spybiotics
008,Star Wars
008.01,Mini
008.01.01,Star Wars Clone Wars
008.01.05,Star Wars Episode 1
008.01.02,Star Wars Episode 2
008.01.03,Star Wars Episode 3
008.01.04,Star Wars Episode 4/5/6
008.11,Minifig Pack
008.09,Planet Series 1
008.10,Planet Series 2
008.12,Planet Series 3
008.13,Planet Series 4
008.13.01,Star Wars Episode 4/5/6
008.02,Star Wars Clone Wars
008.03,Star Wars Episode 1
008.04,Star Wars Episode 2
008.05,Star Wars Episode 3
008.06,Star Wars Episode 4/5/6
008.16,Star Wars Episode 7
008.15,Star Wars Expanded Universe
008.07,Star Wars Other
008.14,Star Wars Rebels
008.17,Star Wars Rogue One
008.08,Ultimate Collector Series
008.08.01,Star Wars Episode 1
008.08.04,Star Wars Episode 2
008.08.02,Star Wars Episode 3
008.08.03,Star Wars Episode 4/5/6
025,Studios
025.01,Jurassic Park III
081,Super Heroes
081.05,Avengers
081.03,Batman
081.03.01,Ultimate Collector Series
081.10,Constraction
081.02,Guardians of the Galaxy
081.08,Iron Man
081.04,Justice League
081.11,Marvel
081.06,Spider-Man
081.07,Superman
081.09,X-Men
001,Technic
001.01,Arctic Technic
001.02,Competition
001.03,Expert Builder
001.04,Model
001.04.01,Airport
001.04.02,Construction
001.04.03,Farm
001.04.04,Fire
001.04.05,Harbor
001.04.06,Off-Road
001.04.07,Race
001.04.08,Riding Cycle
001.04.09,Robot
001.04.10,Traffic
001.05,RoboRiders
001.06,Speed Slammers
001.07,Star Wars
001.08,Supplemental
001.09,Throwbot Slizer
001.10,Universal Building Set
094,Teenage Mutant Ninja Turtles
093,The Hobbit and Lord of the Rings
093.01,The Hobbit
093.01.01,An Unexpected Journey
093.01.03,The Battle of the Five Armies
093.01.02,The Desolation of Smaug
093.02,The Lord of the Rings
093.02.01,The Fellowship of the Ring
093.02.03,The Return of the King
093.02.02,The Two Towers
099,The LEGO Movie
096,The Lone Ranger
074,Time Cruisers
003,Town
003.01,Arctic
003.02,City
003.02.01,Airport
003.02.13,Arctic
003.02.02,Cargo
003.02.03,Coast Guard
003.02.04,Construction
003.02.05,Farm
003.02.06,Fire
003.02.07,Harbor
003.02.08,Hospital
003.02.12,Off-Road
003.02.09,Police
003.02.10,Supplemental
003.02.11,Traffic
003.02.14,Trains
003.03,Classic Town
003.03.01,Airport
003.03.02,Building
003.03.03,Cargo
003.03.04,Coast Guard
003.03.05,Construction
003.03.06,Farm
003.03.07,Fire
003.03.08,Food &amp; Drink
003.03.10,Harbor
003.03.11,Hospital
003.03.12,Off-Road
003.03.13,Police
003.03.14,Post Office
003.03.15,Race
003.03.16,Recreation
003.03.09,Station
003.03.17,Supplemental
003.03.18,Traffic
003.04,Divers
003.05,Extreme Team
003.06,Launch Command
003.07,Outback
003.08,Paradisa
003.09,Race
003.10,Res-Q
003.11,Space Port
003.12,Town Jr.
003.12.01,Cargo
003.12.02,Coast Guard
003.12.03,Construction
003.12.04,Fire
003.12.05,Gas Station
003.12.06,Police
003.12.07,Race
003.12.08,Supplemental
003.12.09,Traffic
003.13,Town Plan
003.14,World City
003.14.01,Airport
003.14.02,Coast Guard
003.14.03,Fire
003.14.04,Food &amp; Drink
003.14.05,Harbor
003.14.06,Police
026,Toy Story
012,Train
012.01,12V
012.02,4.5V
012.03,9V
012.03.01,My Own Creation
012.03.02,My Own Train
012.03.03,World City
012.04,RC Train
012.05,Supplemental
012.05.01,12V
012.05.02,4.5V
012.05.03,9V
012.05.04,RC Train
075,Universal Building Set
075.01,Airport
075.02,Basic
075.03,Basic Model
075.04,Basic Set
075.05,Classic Basic
075.06,Ferries
075.07,Gears
075.08,Supplemental
092,Universe
091,Value Packs
076,Vikings
077,Western
077.01,Cowboys
077.02,Indians
078,X-Pod
078.01,Creator
079,Znap
