part_id,descr,part_type,min_year,max_year,url,img_url
973pb0247c01,Torso SW Armor Silver Print (Bib Fortuna) / Dark Blue Arms / Tan Hands,torso,2003,2003,https://rebrickable.com/parts/973pb0247c01/torso-sw-armor-silver-print-bib-fortuna-dark-blue-arms-tan-hands,https://img.rebrickable.com/img/ni.png
973pb0172c01,Torso Soccer Blue Chevron and No. 9 Front and Back Print / White Arms / Yellow Hands,torso,2002,2004,https://rebrickable.com/parts/973pb0172c01/torso-soccer-blue-chevron-and-no.-9-front-and-back-print-white-arms-yellow-hands,https://img.rebrickable.com/img/ni.png
973px28c01,"Torso Train Striped Undershirt, Zipper Jacket Pockets Print / Blue Arms / Yellow Hands",torso,1998,1999,https://rebrickable.com/parts/973px28c01/torso-train-striped-undershirt+-zipper-jacket-pockets-print-blue-arms-yellow-hands,https://img.rebrickable.com/img/ni.png
973p4nc01,Torso Castle Crusaders Blue Corset and Necklace Print (Maiden) / White Arms / Yellow Hands,torso,1990,1990,https://rebrickable.com/parts/973p4nc01/torso-castle-crusaders-blue-corset-and-necklace-print-maiden-white-arms-yellow-hands,https://img.rebrickable.com/img/pieces/15/973p4n.png
973px14c01,Torso Castle Ninja Vest Green Tattered Print (Robber) / Red Arms / Yellow Hands,torso,1998,1999,https://rebrickable.com/parts/973px14c01/torso-castle-ninja-vest-green-tattered-print-robber-red-arms-yellow-hands,https://img.rebrickable.com/img/ni.png
973pb0313c01,Torso Harry Potter Open Shirt and Sweater Print / Blue Arms / Light Flesh Hands,torso,2004,2004,https://rebrickable.com/parts/973pb0313c01/torso-harry-potter-open-shirt-and-sweater-print-blue-arms-light-flesh-hands,https://img.rebrickable.com/img/pieces/1/973ph7.png
973pr2159c01,Torso Toga with Gold Clasp Print / Yellow Arms / Yellow Hands,torso,2013,2013,https://rebrickable.com/parts/973pr2159c01/torso-toga-with-gold-clasp-print-yellow-arms-yellow-hands,https://img.rebrickable.com/img/pieces/elements/6020329.jpg
973pr0040c01,Torso Female Corset with Pendant Print / Yellow Arms / Yellow Hands,torso,2014,2014,https://rebrickable.com/parts/973pr0040c01/torso-female-corset-with-pendant-print-yellow-arms-yellow-hands,https://img.rebrickable.com/img/pieces/elements/6065107.jpg
973pr1594c01,Torso Space Classic Moon Print / Blue Arms / Blue Hands,torso,1984,2012,https://rebrickable.com/parts/973pr1594c01/torso-space-classic-moon-print-blue-arms-blue-hands,https://img.rebrickable.com/img/pieces/elements/6045866.jpg
973px105c01,Torso Western Indians Necklace and Dark Turquoise Squares Print / Tan Arms / Yellow Hands,torso,1997,2002,https://rebrickable.com/parts/973px105c01/torso-western-indians-necklace-and-dark-turquoise-squares-print-tan-arms-yellow-hands,https://img.rebrickable.com/img/pieces/19/973pwe.png
973pr2117c01,Torso Lederhosen over Pinstriped Shirt Print / White Arms / Yellow Hands,torso,2012,2012,https://rebrickable.com/parts/973pr2117c01/torso-lederhosen-over-pinstriped-shirt-print-white-arms-yellow-hands,https://img.rebrickable.com/img/pieces/elements/6008099.jpg
